institutionid,unitid,collegename,latitude ,longitude,citylocation,zipcode,afflication,year,courses,totalstudents,approvedintakeug,approvedintakepg,ugcourse,pgcourse,research,Tuitionfees,rank
 IR-1-C-C-C-35825,100654,Bishop Heber College,-10.81796,78.68664,srinivasa nagar,620017,bharadhidasan university,1966,http://www.bhc.edu.in,2067,538,220,16,14,6,7182,20
IR-1-C-C-C-35832,100663,Jamal Mohamed College,-10.77782,78.69392,kajanagar,620020,bharadhidasan university,1951,https://www.jmc.edu/academics.php?,10000,3134,1214,15,13,7,7206,35
" IR-C-C-35878
",100690,"National College, Trichy",-10.79105,78.67405,dindugal road,620001,bharadhidasan university,1919,http://www.nct.ac.in/,3400,1664,271,14,12,6,6870,23
IR-C-C-35809,100706,Periyar E.V.R. College,-10.75581,78.68673,kajamalai,620023,bharadhidasan university,1965,https://www.periyarevrcollege.ac.in,4228,1460,417,13,15,5,9192,39
IR-1-C-C-C-35860,100724,St. Joseph's College,-10.82234,-78.68476,theppakulam,620002,bharadhidasan university,1844,www.sjctni.edu/,6257,1747,1100,12,10,4,8720,27
IR-C-C-35863,100751,Nehru Memorial College,-11.0647,78.6835,puthanampati,621007,bharadhidasan university,1956,http://www.nmc.ac.in,4018,1578,500,15,15,6,9450,37
 IR-C-C-35810,100812,Srimad Andavan Arts and Science College,-10.859,78.6978,srirangam,620005,bharadhidasan university,1943,http://andavancollege.ac.in/,4200,1620,548,11,10,5,7660,22
IR-1-C-C-C-35787,100830,Holy Cross College,-10.8249,78.6925,theppakulam,620002,bharadhidasan university,1923,http://www.hcctrichy.ac.in,5200,1657,410,14,12,6,8750,32
 IR-C-C-35811,100858,Aiman College of Arts & Science For Women,-10.7491,78.6856,sathanur,620021,bharadhidasan university,1943,http://www.aimancollege.org/admission-course.html,4600,1565,600,16,15,5,9852,28
IR-1-C-C-C-35783,100937,Cauvery College for Women,-10.7905,78.7047,annamalainagar,620018,bharadhidasan university,,http://www.cauverycollege.ac.in/,5200,1749,460,15,11,5,30690,29
IR-C-C-35895,101073,Urumu Dhanalakshmi College,-10.8027,78.7412,pappakuruchi,620019,bharadhidasan university,1946,http://udc.ac.in/departments.php,3200,1124,560,17,15,6,8090,25
 IR-1-C-C-C-41035,101189,Government Arts College,-10.7705,79.1275,thuvakudi,620022,bharadhidasan university,1973,https://gactrichy.ac.in/,5000,1343,900,18,19,18,18230,23
IR-1-C-C-C-35889,101435,Seethalakshmi Ramaswami College,-10.8327,78.698,townhall,620002,bharadhidasan university,1951,http://www.srcollege.edu.in,4300,1325,320,18,16,8,23500,28
IR-1-C-C-C-35890,101453,Shrimati Indira Gandhi College,-10.83,78.6933,townhall,620002,bharadhidasan university,1984, www.sigc.edu,3500,1335,312,17,15,4,9792,40
[IR-C-C-35792],101480,M.I.E.T Arts & Science College,-10.7304,78.7125,gundur,620007,bharadhidasan university,1993,: http://www.miet.edu/Arts,2000,630,179,9,8,1,7092,44
IR-1-C-C-C-35830,101541,Christhuraj College,-10.7453,78.6421,panjapur,620012,bharadhidasan university,1998,www.christhurajcollegetrichy.com,2300,500,134,7,9,4,15630,34
